name,language,age,genre,pictures
Elliana,English,12,humor,FALSE
Adam,English,9,action,FALSE
Layla,English,5,humor,FALSE
Lily,English,9,romance,FALSE
Dominic,English,9,History,FALSE
Elena,English,7,Literarature,FALSE
Diego,Spanish,12,romance,FALSE
Gabriel,English,8,art,FALSE
Audrey,Spanish,12,Mystery,FALSE
Lincoln,English,12,fiction,FALSE
Robert,English,7,LGBTQ+ ,FALSE
Iris,English,6,Fantasy ,FALSE
Serenity,Spanish,5,History,FALSE
Brooklyn,English,11,LGBTQ+ ,FALSE
Silas,English,5,fiction,FALSE
Sawyer,Spanish,11,hero,FALSE
Emily,Spanish,11,romance,FALSE
Caroline,English,8,romance,TRUE
Sofia,Spanish,5,humor,FALSE
Valerie,English,6,Fantasy ,FALSE
Sienna,English,9,science,TRUE
Sophia,English,7,action,FALSE
Piper,Spanish,12,science,FALSE
Jace,Spanish,12,humor,FALSE
Adalynn,English,5,humor,FALSE
Ezra,English,7,humor,TRUE
Jason,Spanish,9,Literarature,FALSE
Jade,Spanish,13,Horror,FALSE
Hazel,English,13,Literarature,FALSE
Ashley,Spanish,11,art,FALSE
