name,language,age,genre,pictures
Lyla,Spanish,9,Fantasy ,FALSE
Jeremiah,Spanish,13,LGBTQ+ ,FALSE
Mila,English,10,art,FALSE
Jasper,Spanish,6,History,FALSE
Andrew,English,5,LGBTQ+ ,FALSE
Christian,English,7,romance,FALSE
Sebastian,English,13,fiction,FALSE
Nicholas,Spanish,11,LGBTQ+ ,FALSE
Jameson,English,6,Fantasy ,FALSE
Caleb,Spanish,6,art,TRUE
Sarah,Spanish,13,science,FALSE
Hannah,English,13,action,FALSE
Madelyn,English,9,science,TRUE
Zoe,English,9,Fantasy ,FALSE
Legend,Spanish,6,History,FALSE
Mason,English,9,romance,FALSE
Genesis,English,13,humor,FALSE
Arya,English,7,Fantasy ,FALSE
Samantha,English,11,hero,FALSE
Nolan,Spanish,6,History,FALSE
Leo,English,7,Literarature,FALSE
Colton,Spanish,9,action,FALSE
Amir,Spanish,6,Horror,FALSE
Madison,English,6,action,FALSE
Charlie,Spanish,8,Literarature,FALSE
Lucia,Spanish,13,fiction,FALSE
Weston,English,8,science,FALSE
Aria,English,7,science,FALSE
Margaret,Spanish,5,humor,FALSE
Margot,English,12,action,FALSE
